schemaVersion,recordType,source_name,source_url,entityName,employeeCount,description,category,collectedAt
1.0,STARTUP,GitHub AI Directory,https://agpt.co,Autogpt,500,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.",Open Source AI,2026-08-11T08:53:06.255740Z
1.0,STARTUP,GitHub AI Directory,https://prompts.chat,Prompts.Chat,500,"f.k.a. Awesome ChatGPT Prompts. Share, discover, and collect prompts from the community. Free and open source — self-host for your organization with complete privacy.",Open Source AI,2026-08-11T08:53:06.799031Z
1.0,STARTUP,GitHub AI Directory,https://amzn.to/4fqvn0D,Llms From Scratch,500,"Implement a ChatGPT-like LLM in PyTorch from scratch, step by step",Open Source AI,2026-08-11T08:53:07.449192Z
1.0,STARTUP,GitHub AI Directory,https://deeplivecam.net/,Deep Live Cam,500,real time face swap and one-click video deepfake with only a single image,Open Source AI,2026-08-11T08:53:06.679418Z
1.0,STARTUP,GitHub AI Directory,https://claude-mem.ai,Claude Mem,500,"Persistent Context Across Sessions for Every Agent –  Captures everything your agent does during sessions, compresses it with AI, and injects relevant context back into future sessions. Works with Claude Code, OpenClaw, Codex, Gemini, Hermes, Copilot, OpenCode + More",Open Source AI,2026-08-11T08:53:07.150510Z
1.0,STARTUP,GitHub AI Directory,https://openhands.dev,Openhands,500,🙌 OpenHands: AI-Driven Development,Open Source AI,2026-08-11T08:53:07.035954Z
1.0,STARTUP,GitHub AI Directory,https://github.com/microsoft/AI-For-Beginners,Ai For Beginners,500,"12 Weeks, 24 Lessons, AI for All!",Open Source AI,2026-08-11T08:53:06.790398Z
1.0,STARTUP,GitHub AI Directory,https://flowiseai.com,Flowise,500,"Build AI Agents, Visually",Open Source AI,2026-08-11T08:53:06.263742Z
1.0,STARTUP,GitHub AI Directory,https://jingyaogong.github.io/minimind,Minimind,500,🧠「大模型」2小时完全从0训练64M的小参数LLM！Train a 64M-parameter LLM from scratch in just 2h!,Open Source AI,2026-08-11T08:53:06.518683Z
1.0,STARTUP,GitHub AI Directory,https://strix.ai,Strix,500,Open-source AI penetration testing tool to find and fix your app’s vulnerabilities.,Open Source AI,2026-08-11T08:53:06.780144Z
