schemaVersion,recordType,source_name,source_url,entityName,employeeCount,description,category,collectedAt
1.0,STARTUP,Y Combinator Directory,https://amplitude.com,Amplitude,750,Digital Analytics Platform,B2B,2026-08-12T02:01:14.415778Z
1.0,STARTUP,AI Ecosystem Directory,https://anthropic.com,Anthropic,500,AI safety and research company building the Claude model family,Artificial Intelligence,2026-08-12T02:01:13.794796Z
1.0,STARTUP,Y Combinator Directory,http://www.algolia.com,Algolia,810,A developer-friendly and enterprise-grade search API.,B2B,2026-08-12T02:01:15.086852Z
1.0,STARTUP,Y Combinator Directory,https://agilemd.com,Agilemd,19,Predictive analytics and clinical pathways for hospitals,Healthcare,2026-08-12T02:01:15.105520Z
1.0,STARTUP,AI Ecosystem Directory,https://mistral.ai,Mistral AI,120,Open and portable generative AI models for developers and enterprise,Artificial Intelligence,2026-08-12T02:01:13.471538Z
1.0,STARTUP,Y Combinator Directory,http://akidolabs.com,Akido Labs,1000,Rebuilding healthcare with AI at the core,Healthcare,2026-08-12T02:01:14.869305Z
1.0,STARTUP,AI Ecosystem Directory,https://cohere.com,Cohere,400,Enterprise AI platform offering high-performance LLMs and RAG APIs,Enterprise AI,2026-08-12T02:01:13.784281Z
1.0,STARTUP,Y Combinator Directory,http://apollographql.com/,Apollo,200,Apollo helps engineering teams accelerate delivery,B2B,2026-08-12T02:01:15.176423Z
1.0,STARTUP,Y Combinator Directory,http://www.alchemynano.com,Alchemy,25,Nanotechnology-enabled coatings for automotive and defence sectors,Industrials,2026-08-12T02:01:13.670616Z
1.0,STARTUP,Y Combinator Directory,https://ambition.com,Ambition,55,Coaching and gamification software for sales teams.,B2B,2026-08-12T02:01:13.460531Z
1.0,STARTUP,AI Ecosystem Directory,https://elevenlabs.io,ElevenLabs,100,AI voice generator and text-to-speech voice cloning software platform,Audio AI,2026-08-12T02:01:13.690935Z
1.0,STARTUP,Y Combinator Directory,http://www.airhelp.com,Airhelp,350,"AirHelp helps air passengers get compensation for delayed, cancelled…",Consumer,2026-08-12T02:01:14.688318Z
1.0,STARTUP,Y Combinator Directory,http://www.asseta.com,Asseta,4,Marketplace for industrial spare parts and capital equipment.,B2B,2026-08-12T02:01:14.700697Z
1.0,STARTUP,AI Ecosystem Directory,https://runwayml.com,Runway,110,Applied AI research company building generative video creation tools,Generative Media,2026-08-12T02:01:13.707269Z
1.0,STARTUP,Y Combinator Directory,https://atomarine.co,Atomarine,2,Off shore nuclear powered data centers at sea.,Industrials,2026-08-12T02:01:13.393829Z
1.0,STARTUP,Y Combinator Directory,https://amulet.so/,Amulet,2,High performance file system for agents,B2B,2026-08-12T02:01:13.933429Z
1.0,STARTUP,AI Ecosystem Directory,https://pinecone.io,Pinecone,200,Vector database infrastructure for high-performance machine learning,Data Infrastructure,2026-08-12T02:01:14.142363Z
1.0,STARTUP,Y Combinator Directory,https://avocasystems.com,Avoca Systems,8,The AI-powered operating system for radiology networks,Healthcare,2026-08-12T02:01:14.370773Z
1.0,STARTUP,Y Combinator Directory,https://www.agentfm.ai/,Agent Fm,2,One group chat to hear and steer your coding agents.,B2B,2026-08-12T02:01:13.555523Z
1.0,STARTUP,AI Ecosystem Directory,https://weaviate.io,Weaviate,90,Open source vector search engine built for scale and multimodal AI,Data Infrastructure,2026-08-12T02:01:13.463529Z
1.0,STARTUP,Y Combinator Directory,https://axelrod.live/,Axelrod,2,Boutique Hotels that run themselves,B2B,2026-08-12T02:01:13.540511Z
1.0,STARTUP,Y Combinator Directory,https://agnost.ai,Agnost Ai,2,Product analytics for AI Agents,B2B,2026-08-12T02:01:13.422370Z
1.0,STARTUP,AI Ecosystem Directory,https://qdrant.tech,Qdrant,75,High-performance vector database for production neural search,Data Infrastructure,2026-08-12T02:01:13.464534Z
1.0,STARTUP,Y Combinator Directory,https://agentcard.sh,Agentcard,1,debit cards for AI agents.,Fintech,2026-08-12T02:01:13.751990Z
1.0,STARTUP,Y Combinator Directory,https://www.arbital.xyz,Arbital,3,"The trading terminal for perps, memes, and stocks.",Fintech,2026-08-12T02:01:14.453360Z
1.0,STARTUP,Y Combinator Directory,https://aktoria.com/,Aktoria Robotics,2,Human as API for robots,Industrials,2026-08-12T02:01:13.976059Z
1.0,STARTUP,Y Combinator Directory,https://usealmanac.com,Almanac,1,The AI that knows your company,B2B,2026-08-12T02:01:13.842677Z
